t,tau,x,y,z,E,T,IL,s_1,s_2,Fitness
0,0.0,1.0,1.0,1.0,100000.0,100000.0,100.0,0.0,0.0,
1,0.06480648064806481,0.993089121107753,0.887011560651247,478.62409298844295,99308.9121107753,88701.1560651247,47862.40929884429,0.0,0.0,
2,0.12961296129612962,0.9858399137442729,0.7791578712455621,487.52823777087673,98583.99137442729,77915.78712455621,48752.82377708767,0.0,0.0,
3,0.19441944194419442,0.9782503577162037,0.6774360173338423,483.31646318755077,97825.03577162037,67743.60173338423,48331.646318755076,0.0,0.0,
4,0.25922592259225924,0.9703495264856725,0.5827665833161675,478.40711950364073,97034.95264856725,58276.658331616745,47840.71195036407,0.0,0.0,
5,0.324032403240324,0.9621703249558788,0.49593087258615765,473.10580665998503,96217.03249558789,49593.087258615764,47310.5806659985,0.0,0.0,
6,0.38883888388838883,0.9537480497633005,0.4175089310739001,467.3756370506137,95374.80497633005,41750.89310739001,46737.56370506137,0.0,0.0,
7,0.4536453645364536,0.9451194318851399,0.3478273877428469,461.15576418923075,94511.943188514,34782.73877428469,46115.576418923076,0.0,0.0,
8,0.5184518451845185,0.9363215386852992,0.28692833905732223,454.36717815586053,93632.15386852992,28692.833905732223,45436.71781558605,0.0,0.0,
9,0.5832583258325832,0.9273906210667746,0.23456793123371855,446.9102528531723,92739.06210667746,23456.793123371855,44691.025285317235,0.0,0.0,
10,0.648064806480648,0.918361031505362,0.19024707070202665,438.6630645822531,91836.10315053619,19024.707070202665,43866.306458225314,0.0,0.0,
11,0.7128712871287128,0.9092643320643979,0.15326883712006767,429.48133972758853,90926.43320643979,15326.883712006767,42948.13397275886,0.0,0.0,
12,0.7776777677767777,0.9001286752359421,0.12281090301723185,419.2009428937038,90012.8675235942,12281.090301723185,41920.09428937038,0.0,0.0,
13,0.8424842484248425,0.8909784873376815,0.0979991172680844,407.64398680224286,89097.84873376814,9799.91172680844,40764.39868022429,0.0,0.0,
14,0.9072907290729072,0.8818344322942838,0.07797071913782302,394.62956194816167,88183.44322942838,7797.0719137823025,39462.956194816164,0.0,0.0,
15,0.972097209720972,0.8727135975785146,0.06192064276765439,379.9900388589582,87271.35975785146,6192.064276765439,37999.00388589582,0.0,0.0,
16,1.036903690369037,0.8636298294159026,0.04912959213528519,363.59303639922535,86362.98294159026,4912.959213528519,36359.30363992254,0.0,0.0,
17,1.1017101710171016,0.854594147791062,0.03897629122479667,345.36793464214367,85459.4147791062,3897.629122479667,34536.79346421437,0.0,0.0,
18,1.1665166516651664,0.8456151857424113,0.030938050526741156,325.3339278907655,84561.51857424114,3093.8050526741154,32533.392789076548,0.0,0.0,
19,1.2313231323132312,0.8366996144127936,0.02458393787459541,303.6245154553567,83669.96144127936,2458.393787459541,30362.451545535667,0.0,0.0,
20,1.296129612961296,0.8278525304292479,0.019564102660144994,280.5018303607837,82785.25304292479,1956.4102660144995,28050.183036078368,0.0,0.0,
21,1.3609360936093609,0.8190777934146465,0.015597778743388527,256.3544280208055,81907.77934146464,1559.7778743388528,25635.442802080554,0.0,0.0,
22,1.4257425742574257,0.8103783088903656,0.01246154188570324,231.6747854092169,81037.83088903656,1246.1541885703239,23167.47854092169,0.0,0.0,
23,1.4905490549054905,0.8017562566067385,0.009978668419983376,207.01768353599866,80175.62566067386,997.8668419983376,20701.768353599866,0.0,0.0,
24,1.5553555355535553,0.7932132676214444,0.00800994903180278,182.94625741105835,79321.32676214444,800.994903180278,18294.625741105836,0.0,0.0,
25,1.6201620162016201,0.7847505559461708,0.006446012890242319,159.9764948728675,78475.05559461708,644.601289024232,15997.64948728675,0.0,0.0,
26,1.684968496849685,0.7763690124268363,0.005201057033379462,138.53140096006192,77636.90124268363,520.1057033379461,13853.140096006191,0.0,0.0,
27,1.7497749774977498,0.7680692694806842,0.0042078045402868585,118.91277999654828,76806.92694806842,420.7804540286859,11891.277999654829,0.0,0.0,
28,1.8145814581458144,0.7598517451837201,0.0034134959614262454,101.29319065170114,75985.174518372,341.34959614262453,10129.319065170113,0.0,0.0,
29,1.8793879387938792,0.7517166740680469,0.0027767272375270246,85.72544531190356,75171.66740680469,277.67272375270244,8572.544531190355,0.0,0.0,
30,1.944194419441944,0.7436641302260125,0.0022649687978733095,72.16386443228362,74366.41302260125,226.49687978733095,7216.386443228362,0.0,0.0,
31,2.009000900090009,0.735694046422029,0.0018526260291185411,60.4907339815947,73569.40464220289,185.26260291185412,6049.07339815947,0.0,0.0,
32,2.073807380738074,0.7278062312758512,0.0015195262876710736,50.54256406346452,72780.62312758512,151.95262876710737,5054.2564063464515,0.0,0.0,
33,2.1386138613861387,0.7200003854071987,0.0012497399871913561,42.13270178484921,72000.03854071986,124.97399871913561,4213.270178484921,0.0,0.0,
34,2.203420342034203,0.7122761167336334,0.0010306622998820592,35.068750119635034,71227.61167336334,103.06622998820592,3506.8750119635033,0.0,0.0,
35,2.268226822682268,0.7046329547896666,0.0008522976554824496,29.164682054492143,70463.29547896665,85.22976554824496,2916.468205449214,0.0,0.0,
36,2.3330333033303328,0.6970703638554355,0.0007067018281598644,24.248336270930295,69707.03638554356,70.67018281598644,2424.8336270930295,0.0,0.0,
37,2.3978397839783976,0.6895877547276176,0.0005875464125822195,20.165322998116128,68958.77547276176,58.754641258221945,2016.5322998116128,0.0,0.0,
38,2.4626462646264624,0.6821844950552894,0.0004897783613349291,16.78037294934148,68218.44950552894,48.97783613349291,1678.037294934148,0.0,0.0,
